+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
785	9.766	81.89
786	9.77	101.8
787	9.775	115.95
788	9.779	131.17
789	9.784	150.29
790	9.788	167.37
791	9.793	176.23
792	9.797	176.65
793	9.802	169.52
794	9.806	156.82
795	9.811	143.19
796	9.815	131.5
797	9.82	124.52
798	9.824	128.55
799	9.829	147.37
800	9.834	178
801	9.838	211.83
802	9.843	235.08
803	9.847	235.59
804	9.852	210.42
805	9.856	166.26
806	9.861	116.04
807	9.865	74.34
808	9.87	45.44
809	9.874	-30.35
810	9.879	-12.52
811	9.883	11.02
812	9.888	32.57
813	9.892	43.41
814	9.897	44.58
815	9.901	42.69
816	9.906	40.11
817	9.911	36.42
818	9.915	33.32
819	9.92	32.88
820	9.924	34.5
821	9.929	34.49
822	9.933	31.83
823	9.938	30.29
824	9.942	31.98
825	9.947	37.54
826	9.951	52.18
827	9.956	84.17
828	9.96	132.88
829	9.965	182.47
830	9.969	214.24
831	9.974	214.75
832	9.978	175.68
833	9.983	94.26
834	9.988	-10.92
835	9.992	-99.23
836	9.997	-147.42
837	10.001	-161.8
838	10.006	-156.97
839	10.01	-141.87
840	10.015	-124.59
841	10.019	-114.4
842	10.024	-112.8
843	10.028	-113.92
844	10.033	-113.93
845	10.037	-115.24
846	10.042	-121.41
847	10.046	-131.28
848	10.051	-142.28
849	10.055	-152.66
850	10.06	-158.36
851	10.064	-154.06
852	10.069	-135.75
853	10.074	-96.1
854	10.078	-24.98
855	10.083	82.48
856	10.087	218.31
857	10.092	365.3
858	10.096	499.9
859	10.101	591.37
860	10.105	621.79
861	10.11	597.19
862	10.114	540.56
863	10.119	480.52
864	10.123	435.11
865	10.128	407.54
866	10.132	391.08
867	10.137	381.89
868	10.141	385.12
869	10.146	405.89
870	10.15	439.97
871	10.155	481.61
872	10.16	544.63
873	10.164	665.15
874	10.169	874.13
875	10.173	1185.75
876	10.178	1580.6
877	10.182	2004.45
878	10.187	2346.5
879	10.191	2494.6
880	10.196	2398.44
881	10.2	2071.95
882	10.205	1598.7
883	10.209	1090.65
884	10.214	654.43
885	10.218	354.72
886	10.223	192
887	10.227	100.98
888	10.232	20.21
889	10.237	36.21
890	10.241	60
891	10.246	90.58
892	10.25	122.06
893	10.255	147.1
894	10.259	162.64
895	10.264	170.06
896	10.268	170.63
897	10.273	164.8
898	10.277	154.32
899	10.282	142.93
900	10.286	136.32
901	10.291	137.44
902	10.295	142.05
903	10.3	143.4
904	10.304	139.33
905	10.309	133.4
906	10.314	130.13
907	10.318	130.68
908	10.323	136.41
909	10.327	152.31
910	10.332	184.65
911	10.336	235.94
912	10.341	300.1
913	10.345	358.89
914	10.35	388.87
915	10.354	372.75
916	10.359	311.52
917	10.363	222.94
918	10.368	133.72
919	10.372	66.07
920	10.377	2247.13
921	10.382	85304.59
922	10.387	95690.38
923	10.392	107147.44
924	10.397	115382.65
925	10.402	117736.34
926	10.407	115239.52
927	10.412	110439.34
928	10.417	105281.97
929	10.422	100659.98
930	10.427	97232.91
931	10.432	95274.67
932	10.437	94532.97
933	10.442	95332.19
934	10.447	99689.65
935	10.452	112360.7
936	10.457	141782.22
937	10.463	197185.72
938	10.468	281699.41
939	10.473	381826.09
940	10.478	470176.25
941	10.483	522154.22
942	10.488	527777.56
943	10.493	492843.25
944	10.498	433412.22
945	10.503	365355.78
946	10.508	300604.97
947	10.513	245810.84
948	10.518	202122.06
949	10.523	168342.94
950	10.528	142235.59
951	10.533	121517.36
952	10.538	105067.77
953	10.544	92024.38
954	10.549	81263.23
955	10.554	71999.98
956	10.559	64285.12
957	10.564	58005.81
958	10.569	52539.11
959	10.574	47269.2
960	10.579	42086.77
961	10.584	37113.82
962	10.589	32557.42
963	10.594	28592.95
964	10.599	25238.52
965	10.604	22435.12
966	10.609	20062.98
967	10.614	18021.1
968	10.619	16320.41
969	10.624	14892.49
970	10.63	13557.87
971	10.635	12246.42
972	10.64	11070.04
973	10.645	10121.37
974	10.65	9311.68
975	10.655	8537.47
976	10.66	7829.07
977	10.665	7262.32
978	10.67	6844.83
979	10.675	6520.46
980	10.68	6240.38
981	10.685	5993.14
982	10.69	5764.67
983	10.695	5517.26
984	10.7	5243.71
985	10.705	4981.17
986	10.711	4761.72
987	10.716	4576.52
988	10.721	4384.16
989	10.726	4158.76
990	10.731	3921.58
991	10.736	3707.39
992	10.741	3510.43
993	10.746	3317.73
994	10.751	3164.78
995	10.756	3082.72
996	10.761	3045.71
997	10.766	3019.26
998	10.771	2982.34
999	10.776	2923.89
1000	10.781	2850.9
1001	10.786	2772.41
1002	10.792	2700.59
1003	10.797	2606.79
1004	10.805	37.92
1005	10.808	34.48
1006	10.811	26.52
1007	10.814	13.94
1008	10.817	-1.93
1009	10.82	-18.74
1010	10.823	-34.46
1011	10.826	-48.06
1012	10.83	-59.37
1013	10.833	-69.12
1014	10.836	-78.12
1015	10.839	-86.78
1016	10.842	-95.13
1017	10.845	-103.16
1018	10.848	-111.29
1019	10.851	-120.01
1020	10.854	-129.21
1021	10.857	-137.87
1022	10.861	-144.27
1023	10.864	-146.69
1024	10.867	-143.89
1025	10.87	-135.27
1026	10.873	-120.25
1027	10.876	-98.4
1028	10.879	-69.68
1029	10.882	-35.12
1030	10.885	2.03
1031	10.888	38.06
1032	10.891	68.96
1033	10.895	92.64
1034	10.898	107.47
1035	10.901	113.64
1036	10.904	113.35
1037	10.907	110.6
1038	10.91	109.14
1039	10.913	110.59
1040	10.916	114.46
1041	10.919	119.59
1042	10.922	126.01
1043	10.926	134.93
1044	10.929	147.47
1045	10.932	162.62
1046	10.935	177.81
1047	10.938	189.9
1048	10.941	197.25
1049	10.944	200.26
