#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
418	7.898	10.1597080230713
419	7.903	9.75502967834473
420	7.907	9.28126525878906
421	7.912	8.99155044555664
422	7.916	8.99550437927246
423	7.921	9.07713508605957
424	7.925	9.19501876831055
425	7.93	9.34523773193359
426	7.934	9.13376617431641
427	7.939	8.4435510635376
428	7.943	7.85419225692749
429	7.948	7.72899055480957
430	7.952	7.90123796463013
431	7.957	8.20647621154785
432	7.961	8.53397464752197
433	7.966	8.77993774414063
434	7.97	8.91979122161865
435	7.975	8.96187210083008
436	7.98	9.04232883453369
437	7.984	9.37118625640869
438	7.989	9.82473373413086
439	7.993	10.160719871521
440	7.998	10.5152893066406
441	8.002	11.0281085968018
442	8.007	11.4399518966675
443	8.011	11.43630027771
444	8.016	10.9556198120117
445	8.02	10.2517604827881
446	8.025	9.65171146392822
447	8.029	9.12162590026855
448	8.034	8.55424976348877
449	8.038	8.14397621154785
450	8.043	8.01916694641113
451	8.047	7.93606376647949
452	8.052	7.7018346786499
453	8.057	7.39901733398438
454	8.061	7.21883583068848
455	8.066	7.20771551132202
456	8.07	7.29355430603027
457	8.075	7.41709232330322
458	8.079	7.54765701293945
459	8.084	7.65979146957397
460	8.088	7.73160362243652
461	8.093	7.82600784301758
462	8.097	8.02548599243164
463	8.102	8.21097183227539
464	8.106	8.25658130645752
465	8.111	8.27409553527832
466	8.115	8.35726451873779
467	8.12	8.36000442504883
468	8.124	8.17232799530029
469	8.129	8.18165111541748
470	8.134	9.04085254669189
471	8.138	11.4881229400635
472	8.143	16.6648750305176
473	8.147	26.5685901641846
474	8.152	44.6700973510742
475	8.156	77.882926940918
476	8.161	139.765899658203
477	8.165	249.187805175781
478	8.17	419.648315429688
479	8.174	645.714416503906
480	8.179	893.236206054688
481	8.183	1102.20581054688
482	8.188	1207.98693847656
483	8.192	1172.5693359375
484	8.197	1008.26782226563
485	8.201	778.498229980469
486	8.206	565.788635253906
487	8.21	432.729888916016
488	8.215	399.469482421875
489	8.22	440.691711425781
490	8.224	502.556762695313
491	8.229	534.087585449219
492	8.233	509.872283935547
493	8.238	433.6103515625
494	8.242	330.394775390625
495	8.247	230.506561279297
496	8.251	152.954238891602
497	8.256	101.508224487305
498	8.26	71.8727188110352
499	8.265	57.1943969726563
500	8.269	49.7355880737305
501	8.274	44.2500076293945
502	8.278	39.2936935424805
503	8.283	34.6679153442383
504	8.287	30.2033767700195
505	8.292	25.9372406005859
506	8.297	22.2399654388428
507	8.301	19.4189186096191
508	8.306	17.1707134246826
509	8.31	15.1597385406494
510	8.315	13.4920492172241
511	8.319	12.4711303710938
512	8.324	12.1800317764282
513	8.328	12.1508617401123
514	8.333	11.8189554214478
515	8.337	11.3843173980713
516	8.342	11.3062477111816
517	8.346	11.2136659622192
518	8.351	10.5919923782349
519	8.355	9.83487701416016
520	8.36	9.40831470489502
521	8.364	9.11052894592285
522	8.369	8.64451885223389
523	8.373	8.12957286834717
524	8.378	8.0120735168457
525	8.383	8.50496482849121
526	8.387	9.03055763244629
527	8.392	8.87091541290283
528	8.396	8.18947219848633
529	8.401	7.88653945922852
530	8.405	8.65178108215332
531	8.41	10.2578887939453
532	8.414	11.8292922973633
533	8.419	13.0313005447388
534	8.423	14.1478729248047
535	8.428	15.0375366210938
536	8.432	15.2659616470337
537	8.437	14.8109283447266
538	8.441	13.7027378082275
539	8.446	12.1008529663086
540	8.45	10.6987743377686
541	8.455	10.0490608215332
542	8.46	10.0865926742554
543	8.464	10.5332288742065
544	8.469	11.4859008789063
545	8.473	13.1627855300903
546	8.478	15.8932723999023
547	8.482	20.8063545227051
548	8.487	29.5552101135254
549	8.491	43.6836357116699
550	8.496	63.9104118347168
551	8.5	87.4403991699219
552	8.505	106.629325866699
553	8.509	113.750091552734
554	8.514	106.308387756348
555	8.518	87.3020401000977
556	8.523	63.535228729248
557	8.527	42.1558380126953
558	8.532	27.2074165344238
559	8.537	19.2160720825195
560	8.541	16.6410388946533
561	8.546	18.4612693786621
562	8.55	26.5418853759766
563	8.555	45.7600746154785
564	8.559	82.8261871337891
565	8.564	141.774536132813
566	8.568	217.711074829102
567	8.573	295.569000244141
568	8.577	353.476348876953
569	8.582	371.702789306641
570	8.586	347.901031494141
571	8.591	306.827270507813
572	8.595	293.007415771484
573	8.6	348.68994140625
574	8.604	494.348937988281
575	8.609	722.382263183594
576	8.613	992.36181640625
577	8.618	1234.19213867188
578	8.623	1379.16577148438
579	8.627	1390.96215820313
580	8.632	1268.63647460938
